iter	Logloss
0	0.6769490435
1	0.6633581163
2	0.6459985398
3	0.6338922002
4	0.6192594721
5	0.6052639709
6	0.5944619626
7	0.5863020633
8	0.5765131645
9	0.5689118993
10	0.5593096838
11	0.5499727355
12	0.5430173212
13	0.5369464727
14	0.529357219
15	0.5230589532
16	0.5162736583
17	0.5085016136
18	0.500904145
19	0.4953666118
20	0.4893708093
21	0.4843300617
22	0.4775674521
23	0.4716794568
24	0.4649821484
25	0.4589125522
26	0.4539151928
27	0.4482495962
28	0.4430933759
29	0.4379870747
30	0.4328735978
31	0.4287858961
32	0.4244904739
33	0.4203118623
34	0.4162088461
35	0.4120478533
36	0.4075674821
37	0.4035916786
38	0.3999698434
39	0.3957639552
40	0.3922803057
41	0.389108674
42	0.3859525858
43	0.3821388203
44	0.3783719117
45	0.3748392214
46	0.3720440067
47	0.3693311224
48	0.3664267776
49	0.363381179
50	0.3597572152
51	0.3572502999
52	0.3543880047
53	0.3520679705
54	0.3486058761
55	0.3464445361
56	0.3435931052
57	0.3408379807
58	0.3385081666
59	0.3360583662
60	0.334372014
61	0.3324395531
62	0.3296992698
63	0.327570424
64	0.3250954429
65	0.3232319744
66	0.3211406894
67	0.3185206778
68	0.3158170299
69	0.313429669
70	0.310849084
71	0.3092347478
72	0.3076293918
73	0.3061468933
74	0.3049136211
75	0.3027413626
76	0.3002120987
77	0.2987324035
78	0.2965999009
79	0.2950650446
80	0.2933331377
81	0.2918305654
82	0.2896219997
83	0.2877364802
84	0.2862733946
85	0.2844884972
86	0.2830348694
87	0.2815479616
88	0.2795684184
89	0.2781052143
90	0.2771468514
91	0.2758645703
92	0.2737853128
93	0.2722477289
94	0.2707493716
95	0.269283779
96	0.2680409089
97	0.2667159438
98	0.26517997
99	0.2636548245
