iter	Passed	Remaining
0	166	16490
1	167	8191
2	167	5426
3	168	4046
4	169	3217
5	170	2666
6	170	2270
7	171	1973
8	172	1742
9	173	1557
10	173	1405
11	174	1277
12	174	1170
13	175	1078
14	176	1001
15	177	932
16	178	870
17	179	815
18	179	766
19	180	723
20	182	684
21	182	648
22	183	614
23	184	584
24	185	555
25	186	529
26	187	505
27	187	483
28	188	462
29	189	442
30	190	423
31	191	406
32	192	390
33	193	375
34	194	361
35	195	347
36	196	334
37	197	321
38	198	309
39	198	298
40	199	287
41	200	277
42	201	267
43	202	257
44	203	248
45	204	240
46	205	231
47	207	224
48	207	216
49	208	208
50	209	201
51	210	194
52	211	187
53	212	180
54	212	174
55	213	167
56	215	162
57	216	156
58	217	150
59	218	145
60	219	140
61	219	134
62	220	129
63	221	124
64	222	119
65	222	114
66	223	110
67	224	105
68	225	101
69	226	97
70	227	92
71	228	89
72	229	84
73	230	81
74	231	77
75	232	73
76	233	69
77	234	66
78	235	62
79	236	59
80	237	55
81	238	52
82	239	49
83	241	45
84	241	42
85	242	39
86	243	36
87	244	33
88	245	30
89	246	27
90	247	24
91	248	21
92	249	18
93	250	16
94	252	13
95	253	10
96	253	7
97	254	5
98	255	2
99	256	0
